Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1,948,948,948,0.00,0.000%,1.05485,22.54,0.18,21882.0
02_01_ClickEnterJPetStoreDemo,3,854,340,1281,389.06,0.000%,.14998,2.29,0.13,15658.7
06_01_ClickEnterJPetStoreDemo,3,831,314,1247,387.62,0.000%,.15011,2.30,0.13,15660.0
03_01_ClickEnterJPetStoreDemo,3,812,283,1218,391.50,0.000%,.15029,2.30,0.13,15658.7
05_01_ClickEnterJPetStoreDemo,3,824,311,1236,384.32,0.000%,.15006,2.29,0.13,15658.7
04_01_ClickEnterJPetStoreDemo,3,802,281,1204,386.30,0.000%,.15023,2.29,0.13,15637.3
07_01_ClickEnterJPetStoreDemo,3,820,286,1230,395.23,0.000%,.14976,2.29,0.13,15658.7
01_01_ClickEnterJPetStoreDemo,3,854,334,1282,392.61,0.000%,.14934,2.28,0.13,15660.0
03_02_ClickOnSignIn,3,360,230,541,131.73,0.000%,.08033,1.64,0.06,20899.3
04_02_ClickOnSignIn,3,340,202,511,128.12,0.000%,.08034,1.64,0.06,20899.3
06_02_ClickOnSignIn,3,348,213,522,129.13,0.000%,.08036,1.64,0.06,20899.3
02_02_ClickOnSignIn,3,344,208,516,128.29,0.000%,.08037,1.64,0.06,20899.3
07_02_ClickOnSignIn,3,357,225,536,131.12,0.000%,.08037,1.64,0.06,20899.3
05_02_ClickOnSignIn,3,354,217,532,131.62,0.000%,.08026,1.64,0.06,20899.3
01_02_ClickOnSignIn,3,381,224,572,144.01,0.000%,.08016,1.64,0.06,20899.3
07_03_EnterCredsAndClickLogin,2,756,756,756,0.00,0.000%,.03933,0.24,0.06,6170.0
05_03_EnterCredsAndClickLogin,2,768,768,768,0.00,0.000%,.03934,0.24,0.06,6168.0
04_03_EnterCredsAndClickLogin,2,1212,1212,1212,0.00,0.000%,.03898,0.23,0.06,6169.0
03_03_EnterCredsAndClickLogin,2,1224,1224,1224,0.00,0.000%,.03898,0.23,0.06,6170.0
02_03_EnterCredsAndClickLogin,2,1225,1225,1225,0.00,0.000%,.03894,0.23,0.06,6168.0
06_03_EnterCredsAndClickLogin,2,1236,1236,1236,0.00,0.000%,.03893,0.23,0.06,6168.0
01_03_EnterCredsAndClickLogin,2,1251,1251,1251,0.00,0.000%,.03892,0.23,0.06,6171.0
06_04_ClickOnSignOut,2,627,627,627,0.00,0.000%,.11507,0.70,0.14,6222.0
07_04_ClickOnDog,2,310,310,310,0.00,0.000%,.10711,0.58,0.06,5512.0
05_04_ClickOnBirds,2,310,310,310,0.00,0.000%,.10698,0.58,0.06,5520.0
04_04_ClickOnReptiles,2,311,311,311,0.00,0.000%,.10738,0.58,0.06,5516.0
03_04_ClickOnReptiles,2,316,316,316,0.00,0.000%,.10696,0.58,0.06,5516.0
02_04_ClickOnDog,2,308,308,308,0.00,0.000%,.10700,0.58,0.06,5512.0
01_04_ClickOnFish,2,315,315,315,0.00,0.000%,.10693,0.58,0.06,5542.0
07_05_ClickOnProduct,2,315,315,315,0.00,0.000%,.13309,0.73,0.08,5622.0
05_05_ClickOnProduct,2,333,333,333,0.00,0.000%,.13298,0.73,0.08,5602.0
04_05_ClickOnProduct,2,320,320,320,0.00,0.000%,.13302,0.73,0.08,5620.0
03_05_ClickOnProduct,2,310,310,310,0.00,0.000%,.13337,0.73,0.08,5613.0
02_05_ClickOnProduct,2,311,311,311,0.00,0.000%,.13365,0.73,0.08,5622.0
01_05_ClickOnProduct,2,327,327,327,0.00,0.000%,.13308,0.73,0.08,5613.0
07_06_ClickOnAddToCart,2,753,753,753,0.00,0.000%,.07348,0.45,0.09,6285.0
05_06_ClickOnAddToCart,2,1252,1252,1252,0.00,0.000%,.07217,0.44,0.09,6291.0
01_06_ClickOnAddToCart,2,776,776,776,0.00,0.000%,.07338,0.45,0.09,6273.0
03_06_ClickOnAddToCart,2,1246,1246,1246,0.00,0.000%,.07224,0.44,0.09,6287.0
02_06_ClickOnAddToCart,2,1221,1221,1221,0.00,0.000%,.07235,0.44,0.09,6285.0
04_06_ClickOnAddToCart,2,1276,1276,1276,0.00,0.000%,.07212,0.44,0.09,6284.0
05_07_ClickOnProceedToCheckOut,2,318,318,318,0.00,0.000%,.12302,0.72,0.07,5960.0
01_07_ClickOnProceedToCheckOut,2,329,329,329,0.00,0.000%,.12268,0.72,0.07,6037.0
04_07_ClickOnProceedToCheckOut,2,324,324,324,0.00,0.000%,.12337,0.72,0.07,5960.0
03_07_ClickOnProceedToCheckOut,2,323,323,323,0.00,0.000%,.12320,0.72,0.07,5960.0
02_07_ClickOnProceedToCheckOut,2,307,307,307,0.00,0.000%,.12291,0.72,0.07,5959.0
07_07_ClickOnReptiles,2,309,309,309,0.00,0.000%,.10745,0.58,0.06,5516.0
07_08_ClickOnProduct,2,310,310,310,0.00,0.000%,.13303,0.73,0.08,5613.0
05_08_EnterPaymentDetailsAndContinue,2,328,328,328,0.00,0.000%,.10504,0.59,0.10,5778.0
01_08_EnterPaymentDetailsAndContinue,2,313,313,313,0.00,0.000%,.10539,0.60,0.10,5856.0
04_08_EnterPaymentDetailsAndContinue,2,338,338,338,0.00,0.000%,.10535,0.59,0.10,5779.0
02_08_EnterPaymentDetailsAndContinue,2,326,326,326,0.00,0.000%,.10538,0.59,0.10,5778.0
03_08_EnterPaymentDetailsAndContinue,2,311,311,311,0.00,0.000%,.10500,0.59,0.10,5780.0
05_09_ClickOnConfirm,2,701,701,701,0.00,0.000%,.12226,0.76,0.18,6372.0
01_09_ClickOnConfirm,2,687,687,687,0.00,0.000%,.12296,0.77,0.18,6427.0
04_09_ClickOnConfirm,2,704,704,704,0.00,0.000%,.12267,0.76,0.18,6364.0
02_09_ClickOnConfirm,2,682,682,682,0.00,0.000%,.12280,0.76,0.18,6369.0
03_09_ClickOnConfirm,2,759,759,759,0.00,0.000%,.12238,0.76,0.18,6364.0
07_09_ClickOnAddToCart,2,1244,1244,1244,0.00,0.000%,.07217,0.45,0.09,6353.0
05_10_ClickOnSignOut,2,1236,1236,1236,0.00,0.000%,.11074,0.67,0.14,6221.0
01_10_ClickOnSignOut,2,1267,1267,1267,0.00,0.000%,.11068,0.67,0.14,6221.0
04_10_ClickOnSignOut,2,1274,1274,1274,0.00,0.000%,.11102,0.67,0.14,6222.0
02_10_ClickOnSignOut,2,1239,1239,1239,0.00,0.000%,.11080,0.67,0.14,6219.0
03_10_ClickOnSignOut,2,1257,1257,1257,0.00,0.000%,.11082,0.67,0.14,6220.0
07_10_ClickOnSignOut,2,615,615,615,0.00,0.000%,.11517,0.70,0.14,6221.0
TOTAL,143,657,202,1282,393.89,0.000%,.57693,5.47,0.54,9709.7
